"","record_id","sobbs_1","sobbs_2","sobbs_3","sobbs_4","sobbs_5","sobbs_6","sobbs_7","sobbs_8","sobbs_9","sobbs_10","sobbs_11","sobbs_12","sobbs_13","sobbs_14","isos_1","isos_2","isos_3","isos_4","isos_5","isos_6","isos_7","isos_8","isos_9","isos_10","isos_11","isos_12","isos_13","isos_14","isos_15","mhi_1","mhi_5","mhi_4","mhi_3","mhi_2"
"371",166,2,1,1,4,2,4,5,5,1,1,2,5,3,4,3,1,5,5,4,3,3,3,1,1,1,1,1,1,1,5,5,3,2,2
"372",167,3,5,1,5,1,5,5,4,1,1,1,4,1,5,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5
"373",171,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1
"374",176,2,4,2,2,1,4,4,4,1,1,2,4,1,1,1,1,3,3,2,1,1,2,1,1,1,1,1,1,1,2,4,3,5,6
"375",179,3,5,5,4,4,5,5,5,2,4,3,4,3,5,2,2,4,4,3,1,1,4,2,4,1,2,2,1,2,5,3,3,2,3
"376",182,2,3,2,5,2,4,5,5,1,3,4,4,3,5,3,3,4,5,4,2,1,3,2,2,3,1,2,1,3,2,4,5,5,6
"377",183,2,5,2,5,1,5,5,5,1,2,3,4,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4,5,6
"378",185,1,3,1,3,3,4,4,4,1,1,3,4,2,4,2,3,3,3,3,2,3,3,2,3,2,3,3,3,3,6,4,2,2,3
"379",188,2,4,1,4,1,5,4,4,1,3,4,4,2,5,1,2,3,3,3,4,1,3,3,3,3,1,2,1,3,5,5,2,2,2
"380",190,2,4,2,4,3,5,4,3,2,4,2,3,1,1,3,3,4,4,3,3,3,2,2,2,2,2,3,2,2,2,3,4,5,6
"381",200,2,2,2,2,2,2,4,3,1,1,3,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,5,5,4,5
"382",216,1,4,1,4,1,3,4,3,1,1,1,4,1,2,1,3,4,4,4,4,2,4,4,4,4,1,3,1,3,2,2,5,5,6
"383",217,1,4,1,4,2,3,4,1,1,1,1,4,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,4,4,5
"384",223,2,4,2,4,2,4,4,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4
"385",240,1,4,1,2,1,4,4,4,1,2,2,5,2,4,2,4,3,3,3,3,3,3,3,4,4,4,4,2,2,5,5,1,1,1
"386",242,3,2,2,4,2,4,4,3,2,3,2,3,4,4,2,2,3,3,2,2,3,2,1,1,1,2,3,2,2,3,5,2,5,5
"387",245,1,4,1,5,1,4,5,4,1,2,2,4,4,4,1,2,3,3,1,2,1,2,1,2,1,1,1,1,1,3,4,4,4,5
"388",250,2,4,1,4,1,5,5,5,1,2,1,5,4,5,4,2,4,3,3,3,3,4,2,2,3,3,2,2,3,4,5,3,4,6
"389",265,3,5,4,3,1,3,4,3,2,4,3,4,1,1,3,3,4,4,3,2,3,3,2,3,3,2,3,2,2,4,4,5,3,4
"390",273,2,3,2,4,3,4,4,4,4,2,4,3,4,4,1,1,4,3,1,1,1,2,1,1,1,2,2,1,1,3,3,4,5,5
"391",275,4,5,5,5,5,5,4,4,2,4,3,4,3,5,1,1,3,2,1,1,1,1,2,1,1,1,2,1,1,3,3,4,5,6
"392",279,2,5,2,5,2,5,5,5,2,4,4,4,4,5,2,4,5,5,3,2,2,4,1,3,1,1,2,1,1,5,2,1,2,2
"393",280,1,5,3,5,2,5,5,5,1,5,1,5,4,5,1,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,6,2,3,3
"394",285,2,4,3,4,3,5,5,5,4,3,4,4,3,4,3,3,4,5,3,4,4,4,2,3,2,2,3,2,4,4,4,2,2,3
"395",289,2,5,2,5,1,5,5,5,1,3,5,5,2,5,2,2,4,3,3,2,1,2,2,2,3,1,1,1,2,2,3,5,5,6
"396",295,2,5,1,3,2,5,5,3,2,3,3,5,2,5,1,1,3,3,3,2,1,2,1,1,1,3,1,3,1,2,2,4,4,5
"397",309,2,4,3,4,3,5,5,5,4,4,3,5,3,5,2,2,5,4,2,2,2,3,1,2,1,1,1,2,1,4,5,3,2,2
"398",310,2,4,1,4,1,5,5,5,5,3,2,5,3,3,3,2,4,4,4,2,3,4,2,2,2,3,3,3,2,4,3,3,2,3
"399",313,1,3,2,3,2,4,4,4,1,1,1,2,1,2,1,1,4,3,1,1,1,3,1,1,1,1,1,1,1,3,3,4,5,5
"400",315,1,4,1,3,1,3,2,2,1,1,1,4,3,1,2,3,4,4,3,4,3,2,2,2,3,2,3,2,2,3,3,5,4,6
"401",319,3,5,4,5,3,5,5,5,4,4,4,5,4,5,3,3,5,4,4,4,3,3,4,3,3,2,4,3,3,4,4,2,4,5
"402",322,2,4,1,1,2,5,3,4,1,1,4,4,4,5,3,3,4,4,2,3,3,3,3,2,3,1,3,1,1,3,4,3,5,5
"403",329,2,5,3,4,2,5,5,5,2,1,2,2,2,5,2,1,3,2,1,2,2,1,1,1,1,1,1,1,2,2,4,2,4,5
"404",330,2,4,2,4,1,4,4,2,2,3,2,2,1,3,2,2,3,3,3,2,2,2,2,2,2,1,4,1,1,2,3,4,5,6
"405",332,2,5,2,4,3,5,5,5,2,4,2,5,2,5,3,3,5,5,5,3,1,4,2,2,2,3,3,3,3,4,4,2,3,4
"406",334,2,4,2,5,1,5,5,5,2,2,2,5,3,5,3,3,4,3,2,4,3,2,2,2,2,2,2,2,2,4,4,2,3,4
"407",336,3,5,4,5,3,5,5,5,2,3,3,5,2,5,1,5,5,5,5,5,1,5,5,5,5,2,4,2,4,2,3,4,5,6
"408",348,4,5,3,4,3,5,4,4,4,3,4,3,4,5,1,2,5,3,2,3,1,2,1,1,1,2,2,2,2,5,5,3,1,1
"409",356,2,3,3,4,2,3,3,4,2,2,2,2,3,4,1,4,4,4,2,1,1,4,1,3,1,2,3,1,3,5,4,4,2,2
"410",358,2,4,2,4,2,5,4,3,1,2,2,4,2,4,4,3,3,3,3,4,2,3,4,1,3,3,3,2,2,2,3,3,5,6
"411",360,1,5,1,4,1,5,5,5,1,1,2,4,1,5,1,2,4,5,4,3,3,3,3,2,2,1,3,1,2,3,4,3,3,3
"412",368,4,5,2,5,2,4,4,5,2,3,1,4,2,4,1,1,3,3,2,2,1,3,1,1,1,2,1,2,1,3,3,4,4,5
"413",370,1,2,3,5,3,4,4,4,3,2,3,3,3,4,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,5,2,3,4
"414",379,3,4,4,5,3,5,5,5,2,4,4,5,4,5,1,1,5,2,3,1,1,1,1,1,1,1,4,1,1,5,6,1,2,1
"415",382,4,1,3,3,1,5,4,2,1,4,2,2,1,1,3,3,3,2,2,3,2,2,3,3,3,2,3,1,3,5,5,2,4,6
"416",384,1,4,1,3,1,4,4,4,1,4,1,4,1,4,3,3,4,4,3,3,4,3,3,2,3,2,2,2,2,3,4,5,3,5
"417",385,4,4,4,4,2,5,5,5,3,1,3,4,3,5,2,2,5,4,4,3,2,4,2,1,1,3,3,1,2,5,4,2,2,4
"418",394,3,5,2,4,2,3,4,4,2,1,2,4,1,5,1,2,5,5,3,2,2,2,1,1,1,1,2,2,2,2,4,4,4,5
"419",395,1,2,2,2,3,1,2,2,3,3,1,4,1,5,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,5,5,1,2,3
"420",400,1,5,1,3,1,4,5,4,1,2,1,4,3,4,5,5,5,5,5,5,5,5,5,5,5,3,2,2,4,3,3,3,3,4
"421",415,2,4,3,4,1,4,3,3,1,1,1,4,1,2,2,3,3,2,2,1,1,2,1,2,2,2,1,2,1,2,3,4,5,6
"422",421,3,4,2,4,2,5,5,4,2,3,2,4,3,4,2,1,1,2,1,3,1,1,3,1,1,2,1,1,1,4,4,3,2,4
"423",426,5,5,4,5,2,5,5,5,4,4,4,4,5,5,2,4,5,5,5,4,1,5,4,3,5,3,2,2,3,3,4,2,5,5
"424",427,2,5,1,5,1,5,5,5,1,4,2,5,3,5,3,2,4,4,4,3,2,4,3,3,2,3,2,2,2,4,6,1,1,2
"425",428,2,4,4,4,2,4,4,4,3,2,2,4,2,4,3,2,3,3,2,2,3,3,2,2,3,3,1,2,2,3,3,2,4,5
"426",430,3,3,2,3,2,4,4,4,2,2,2,4,2,4,3,2,3,3,3,3,2,2,2,2,2,2,4,2,4,4,4,3,3,3
"427",433,2,4,1,4,2,5,4,4,2,2,2,2,1,4,3,4,4,4,3,2,2,5,2,3,2,2,2,2,2,3,5,1,2,3
"428",439,3,5,2,4,3,5,5,5,4,2,2,5,3,4,2,3,5,5,3,2,3,3,3,2,3,3,3,2,2,5,6,1,2,2
"429",443,1,5,1,4,1,4,4,4,1,3,2,4,1,4,1,4,4,4,2,3,1,3,4,3,4,4,1,4,3,4,5,1,2,2
"430",447,4,4,2,4,2,4,4,4,1,4,1,4,2,4,2,2,4,3,2,2,3,2,3,2,2,1,1,1,1,3,5,2,3,3
"431",453,2,4,1,2,1,5,5,5,1,3,1,5,1,4,2,2,4,4,2,4,2,5,1,1,2,3,2,2,1,5,2,4,3,5
"432",458,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,2,5,3,1,1,1,1,1,1,1,2,2,1,1,4,3,2,1,2
"433",460,3,3,3,3,4,4,4,4,3,2,3,2,3,3,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,5,5,4
"434",468,4,5,4,5,4,5,5,3,4,5,4,5,5,5,3,4,5,4,5,5,3,5,4,5,4,5,4,4,4,5,5,1,2,2
"435",469,2,2,2,3,2,5,4,3,1,2,2,3,1,4,1,3,3,4,3,2,1,2,2,2,2,2,2,2,2,2,4,4,6,5
"436",471,2,4,2,2,2,4,4,4,1,1,1,4,1,4,3,5,5,5,5,3,3,4,3,4,4,3,3,2,2,3,4,2,5,6
"437",480,2,4,2,4,2,4,4,3,2,4,2,4,2,4,3,3,3,3,3,4,2,3,4,3,4,3,4,2,4,3,3,2,3,4
"438",482,1,2,2,2,1,4,4,5,1,1,1,2,1,4,3,4,5,5,3,4,2,4,3,3,3,3,3,2,3,5,5,1,1,2
"439",486,4,4,4,4,4,4,4,4,2,2,3,4,4,4,2,3,3,3,3,1,2,3,3,3,2,4,2,3,2,4,4,4,5,5
"440",494,2,4,4,3,2,4,4,4,2,3,2,4,1,4,3,4,5,5,3,3,2,4,3,4,2,3,2,3,3,4,4,5,2,4
"441",508,1,5,5,5,3,5,5,5,2,2,2,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,6
"442",520,1,4,2,4,1,4,5,4,1,1,2,4,2,3,2,3,4,4,3,4,1,4,5,3,4,1,3,1,3,4,5,2,2,3
"443",521,1,1,5,5,5,4,4,4,5,3,5,4,4,4,3,3,5,5,5,4,4,4,4,4,4,3,3,3,3,4,5,1,4,3
"444",523,2,4,2,4,2,4,4,4,1,2,2,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,6
"445",526,2,4,3,5,1,5,5,5,4,2,4,3,3,5,4,4,5,5,4,5,5,4,4,4,3,2,3,2,4,2,2,5,4,5
"446",528,2,5,3,4,1,4,5,5,1,1,2,5,3,5,3,3,5,5,4,4,3,4,3,4,3,2,2,1,3,4,4,1,3,4
"447",536,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,2,3,3,2,2,2,3,3,3,2,4,2,6,4,4
