rowname,sobbs_1,sobbs_2,sobbs_3,sobbs_4,sobbs_5,sobbs_6,sobbs_7,sobbs_8,sobbs_9,sobbs_10,sobbs_11,sobbs_12,sobbs_13,sobbs_14
sobbs_1,1,0.20662905659145453,0.5320858468811089,0.17991917475289038,0.4103328580967702,0.1689351017258953,0.1315893086982093,0.1711332298393477,0.3310781939292773,0.4428937665348267,0.37894144972090044,0.16271334301584764,0.35140744060614004,0.1534521806867921
sobbs_2,0.20662905659145453,1,0.20698432298908337,0.30475028362281575,0.08087467396901603,0.38708343583965543,0.39631998936893537,0.492609718973536,0.09782422258693614,0.23201164045588807,0.13874127450450005,0.4226277987639945,0.12987927387249773,0.4269644001690026
sobbs_3,0.5320858468811089,0.20698432298908337,1,0.32157851041664276,0.5477545770468637,0.2019843996101486,0.19606758151085002,0.28541408904518867,0.4129470847083562,0.34303286080916384,0.4065383252933688,0.22357542319094453,0.3677250450829871,0.2649788732434715
sobbs_4,0.17991917475289038,0.30475028362281575,0.32157851041664276,1,0.2717623896551926,0.3193040991658816,0.48807627570731144,0.3975344753024653,0.2451608347354281,0.24323723658242968,0.29608288216911033,0.3369814577444581,0.2306833792193741,0.3422730432972275
sobbs_5,0.4103328580967702,0.08087467396901603,0.5477545770468637,0.2717623896551926,1,0.14104515787706912,0.16986685264654308,0.20384110080821438,0.5677618100057475,0.3951623723608946,0.4546024195065811,0.16908117021844182,0.4331643218046268,0.17797146918430867
sobbs_6,0.1689351017258953,0.38708343583965543,0.2019843996101486,0.3193040991658816,0.14104515787706912,1,0.5336358224115183,0.5524438365855284,0.16327124157253797,0.21377671309276497,0.2054482913038645,0.3913561798409454,0.16535591772016073,0.5126806244632776
sobbs_7,0.1315893086982093,0.39631998936893537,0.19606758151085002,0.48807627570731144,0.16986685264654308,0.5336358224115183,1,0.7080274389450815,0.18199705722812085,0.23350441795376528,0.28496842703436964,0.49566665757849987,0.17906749317359746,0.5204828636613946
sobbs_8,0.1711332298393477,0.492609718973536,0.28541408904518867,0.3975344753024653,0.20384110080821438,0.5524438365855284,0.7080274389450815,1,0.19016221475692194,0.2180201431105925,0.2652415848579462,0.5412171729489571,0.2522740265570401,0.6571634398744552
sobbs_9,0.3310781939292773,0.09782422258693614,0.4129470847083562,0.2451608347354281,0.5677618100057475,0.16327124157253797,0.18199705722812085,0.19016221475692194,1,0.3916197390828989,0.49509574360175845,0.1739547745802541,0.45336028435231346,0.1395400285141081
sobbs_10,0.4428937665348267,0.23201164045588807,0.34303286080916384,0.24323723658242968,0.3951623723608946,0.21377671309276497,0.23350441795376528,0.2180201431105925,0.3916197390828989,1,0.42344474796683185,0.26143771711009095,0.5040275253626837,0.20642869356367716
sobbs_11,0.37894144972090044,0.13874127450450005,0.4065383252933688,0.29608288216911033,0.4546024195065811,0.2054482913038645,0.28496842703436964,0.2652415848579462,0.49509574360175845,0.42344474796683185,1,0.24945291352977955,0.42712572394555665,0.24557394980215
sobbs_12,0.16271334301584764,0.4226277987639945,0.22357542319094453,0.3369814577444581,0.16908117021844182,0.3913561798409454,0.49566665757849987,0.5412171729489571,0.1739547745802541,0.26143771711009095,0.24945291352977955,1,0.29262558037020836,0.48827332783312033
sobbs_13,0.35140744060614004,0.12987927387249773,0.3677250450829871,0.2306833792193741,0.4331643218046268,0.16535591772016073,0.17906749317359746,0.2522740265570401,0.45336028435231346,0.5040275253626837,0.42712572394555665,0.29262558037020836,1,0.2844115405599436
sobbs_14,0.1534521806867921,0.4269644001690026,0.2649788732434715,0.3422730432972275,0.17797146918430867,0.5126806244632776,0.5204828636613946,0.6571634398744552,0.1395400285141081,0.20642869356367716,0.24557394980215,0.48827332783312033,0.2844115405599436,1
